"구분","법령명","법령ID","MST","소관","공포일자","공포번호","시행일","조회일","수집조문","본문API","원문URL"
"법률","국토의 계획 및 이용에 관한 법률","009294","284013","국토교통부","20260305","21447","20260701","2026-09-21","9","https://www.law.go.kr/DRF/lawService.do?target=law&type=XML&MST=284013","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"대통령령","국토의 계획 및 이용에 관한 법률 시행령","009419","288857","국토교통부","20260818","36587","20260918","2026-09-21","3","https://www.law.go.kr/DRF/lawService.do?target=law&type=XML&MST=288857","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0%20%EC%8B%9C%ED%96%89%EB%A0%B9"
"조례","서울특별시 도시계획 조례","2000719","2149501","서울특별시","20260713","10139","20260713","2026-09-21","2","https://www.law.go.kr/DRF/lawService.do?target=ordin&type=XML&MST=2149501","https://www.law.go.kr/자치법규/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EC%8B%9C%EA%B3%84%ED%9A%8D%20%EC%A1%B0%EB%A1%80"
"규칙","서울특별시 도시계획 조례 시행규칙","2000769","1976247","서울특별시","20241014","4669","20241014","2026-09-21","2","https://www.law.go.kr/DRF/lawService.do?target=ordin&type=XML&MST=1976247","https://www.law.go.kr/자치법규/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%8F%84%EC%8B%9C%EA%B3%84%ED%9A%8D%20%EC%A1%B0%EB%A1%80%20%EC%8B%9C%ED%96%89%EA%B7%9C%EC%B9%99"
